certifier_name,title,facility_count,state_count,states,sample_facilities,classification
"TIFFANI BRADBERRY","ADMINISTRATOR",1,1,"TX","CHAMBERS DBA LEGACIES","Small Operator"
"JORGE ROJAS","ADMINISTRATOR",1,1,"TX","PURE HEALTH TRANSITIONAL CARE AT TEX","Small Operator"
"TEDD GLAZEBROOK","TGLAZEBROOK@ENSIGNSERVICES.NET",1,1,"AZ","GLENDALE HEALTHCARE ASSOCIATES  LLC","Small Operator"
"ETHAN BRAMSCHREIBER","ADMINISTRATOR",1,1,"AZ","PRESIDIO HEALTH ASSOCIATES  LLC","Small Operator"
"MATTHEW LAYNE MOSER","ADMINISTRATOR",1,1,"AZ","WELLSPRINGS OF GILBERT","Small Operator"
"MATT RASBAND","CEO",1,1,"AZ","WELBROOK YUMA OPCO LLC","Small Operator"
"MICHAEL TINDELL","ADMINISTRATOR",1,1,"AR","MORRILTON SNF OPS DBA BROOKRIDGE CO","Small Operator"
"SHELIA MILAM","ADMINSITRATOR",1,1,"AR","TEXARKANA SNF OPS  DBA BENTLEY REHAB","Small Operator"
"STEPHANIE FLETCHER","ADMINISTRATOR",1,1,"AR","CAMDEN SNF DBA OUACHITA HEALTH","Small Operator"
"JODI LOGAN","ADMINISTRATOR",1,1,"AR","GRANT SNF DBA SHERIDAN","Small Operator"
"DEBBIE HICKS","ADMINSTRATOR",1,1,"AR","RANDOLPH SNF DBA POCAHONAS","Small Operator"
"BRANDON BOSWELL","ADMINISTRATOR",1,1,"AR","ENCORE HEALTH & REHAB WEST LITTLE RO","Small Operator"
"CALVIN CALLAWAY","ADMINISTRATOR",1,1,"CA","FOLSOM CONVALESCENT HOSPITAL","Small Operator"
"ADRIAN DEGHANMANESH","CFO",1,1,"CA","MISSION CARMICHAEL HEALTHCARE CENTER","Small Operator"
"DAVID STROTHER","ADMINISTRATOR",1,1,"CA","LIGHTHOUSE HEALTHCARE CENTER","Small Operator"
"ASHLEY E IRTZ","ADMINISTRATOR",1,1,"CO","CASTLE ROCK HEALTHCARE  INC.","Small Operator"
"LORETHA BARNES","ADMINISTRATOR",1,1,"CO","LARCHWOOD INNS","Small Operator"
"MARYBETH KOPEC","VICE PRESIDENT OF FINANCE",1,1,"DE","THE MOORINGS AT LEWES","Small Operator"
"ERIC HUGH","ADMINISTRATOR",1,1,"DC","UNIQUE REHABILITATION & WELLNESS","Small Operator"
"MARISA DELUCA","ADMINISTRATOR",1,1,"FL","RIVERSIDE OPERATOR  LLC","Small Operator"
"ASHLEY PARKER","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE PLANT CITY","Small Operator"
"TODD KIMBLE","ADMINISTRATOR",1,1,"FL","LEHIGH ACRES HEALTHCARE & REHAB CENT","Small Operator"
"AMY SAAYMAN","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE BAYONET POINT","Small Operator"
"LINDA WINTERS","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE PARKWAY","Small Operator"
"STACEY WILKINS","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE MERRITT ISLAND","Small Operator"
"JAMIE WEIS-JONES","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE IMPERIAL","Small Operator"
"KYLE BOLDEN","ASSOC EXECUTIVE DIRECTOR",1,1,"FL","REGENCY OAKS HEALTH CENTER","Small Operator"
"TRICIA DELRIO","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE LAKE CITY","Small Operator"
"MATT BALTZ","ADMINISTRATOR",1,1,"FL","THE MANOR AT BLUE WATER BAY","Small Operator"
"ROSS BAIRD","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE DAYTONA","Small Operator"
"DUSTIN BLEWETT-BECKVOLD","CHIEF EXECUTIVE OFFICER",1,1,"ID","LEWISTON NORTH OF CASCADIA  LLC","Small Operator"
"ANDREW HARRIS","EXECUTIVE DIRECTOR",1,1,"IA","LUTHERAN LIVING SENIOR","Small Operator"
"ARI MOREMAN","MEMBER",1,1,"KY","THE PAVILION AT KENTON","Small Operator"
"BRIAN CAUSEY","CEO",1,1,"LA","HAVEN NURSING CENTER","Small Operator"
"KIMBERLY RIGDON","EXECUTIVE DIRECTOR",1,1,"LA","ARCADIA NURSING & REHAB CENTER  LLC","Small Operator"
"BOND BABIN","ADMINISTRATOR",1,1,"LA","TANGI PINES SENIOR CARE  L.L.C.","Small Operator"
"HARRIET LOFTON","ADMINISTRATOR",1,1,"LA","J. MICHAEL MORROW NURSING HOME","Small Operator"
"JARVIS GILLIAM","EXECUTIVE DIRECTOR",1,1,"LA","FARMERVILLE NRSG & REHAB CENTER  LLC","Small Operator"
"MANDY HENRY","ADMINISTRATOR",1,1,"LA","VERMILION HEALTHCARE CENTER","Small Operator"
"JACK SANDERS","CHIEF FINANCIAL OFFICER",1,1,"LA","THE CARE CENTER OF DEQUINCY","Small Operator"
"DANIELLE TOUPS","ADMINISTRATOR",1,1,"LA","NURSING HOME OF EUNICE","Small Operator"
"AMY TOLLESON","ADMINISTRATOR",1,1,"LA","ALLEN HEALTH CARE PARTNERS","Small Operator"
"TAMARA DAYTON","ADMINISTRATOR",1,1,"LA","LANE SENIOR CARE  LLC","Small Operator"
"BOYD SOCKRIDER","ADMINISTRATOR",1,1,"LA","THE GARDENS AND GUARDIAN","Small Operator"
"TITANIA ELBEY","ADMINISTRATOR",1,1,"MD","COLLINGSWOOD REHAB AND HEALTHCARE","Small Operator"
"PAUL OMROD","CFO",1,1,"MD","CREEKSIDE CENTER FOR REHAB & NURSING","Small Operator"
"ELIZABETH DANIELS","ADMINISTRATOR",1,1,"MD","STERLING CARE AT FROSTBURG VILLAGE","Small Operator"
"NICOLE BANZHOFF","ADMINISTRATOR",1,1,"MD","STERLING CARE AT SOUTH MOUNTAIN","Small Operator"
"RENE GOMEZ","ADMINISTRATOR",1,1,"MD","SHADY GROVE NURSING & REHAB","Small Operator"
"FERNANDA AZUCENA","ADMINISTRATOR",1,1,"MD","FOX CHASE HEALTHCARE","Small Operator"
"KEVIN DALESANDRO","ADMINISTRATOR",1,1,"MD","WESTGATE HILLS REHAB & HEALHCARE CTR","Small Operator"
"TIMOTHY JOHNSON","ADMINISTRATOR",1,1,"MD","NSG & REHAB CTR AT STADIUM PLACE","Small Operator"
"TODD FUNK","ADMINISTRATOR",1,1,"MA","WEBSTER PARK OPERATOR LLC","Small Operator"
"CARLY VEIGA","ADMINISTRATOR",1,1,"MA","BRENTWOOD OPERATOR LLC","Small Operator"
"MONICA ROMAN","ADMINISTRATOR",1,1,"MA","ASPEN HILL OPERATOR  LLC","Small Operator"
"MIRIAM KATZ","PROJECT MANAGER",1,1,"MA","HATHORNE SNF OPERATIONS LLC","Small Operator"
"STEPHEN BUCKLEY","ADMINISTRATOR",1,1,"MA","NEB OPERATOR","Small Operator"
"REBECCA DEHAAN","ADMINISTRATOR",1,1,"MI","THORNAPPLE MANOR","Small Operator"
"MARNA ROBERTSON","ADMINISTRATOR",1,1,"MI","MEADOW BROOK MEDICAL CARE FACILITY","Small Operator"
"MELISSA JURAKOVICH","ADMINISTRATOR",1,1,"MI","GOGEBIC MEDICAL CARE FACILITY","Small Operator"
"LISA ASHLEY","ADMINISTRATOR",1,1,"MI","EMMET COUNTY MEDICAL CARE FACILITY","Small Operator"
"KEVIN EVANS","ADMINISTRATOR",1,1,"MI","MARTHA T BERRY MEMORIAL CARE FACILIT","Small Operator"
"ERIN TUCKEY","ADMINISTRATOR",1,1,"MI","LENAWEE COUNTY MEDICAL CARE FACILITY","Small Operator"
"KAROL BUCHHOLZ","VICE PRESIDENT",1,1,"MI","ARBOR MANOR CARE CENTER","Small Operator"
"LEE JOHNSON","ADMINISTRATOR/PRESIDENT",1,1,"MI","EASTWOOD NURSING CENTER OF NEGAUNEE","Small Operator"
"GARRY PACE","MANAGEING MEMBER",1,1,"MS","ALCORN COUNTY LTC  LLC","Small Operator"
"MARTY NORTHRIP","OWNER",1,1,"MS","SCCR  LLC","Small Operator"
"GARRY PACE","MANAGING MEMBER",1,1,"MS","NEWTON COUNTY LTC  LLC","Small Operator"
"MATT SCHOTTLANDER","ADMINISTRATOR",1,1,"NJ","SPRING GROVE REHAB AND HLTHCARE CTR","Small Operator"
"CAROLYN ZEH","ADMINISTRATOR",1,1,"NJ","CORAL HARBOR REHAB AND HEALTHCARE","Small Operator"
"JEAN MONNECKA","ADMINISTRATOR",1,1,"NJ","OAKLAND REHAB & HEALTHCARE CENTER","Small Operator"
"SHLOMO FOGEL","ADMINISTRATOR",1,1,"NJ","OCEANA REHABILITATION","Small Operator"
"OMKAR PRAMNUATH","ADMINISTRATOR",1,1,"NJ","WILLOW SPRINGS REHAB & HEALTHCARE CT","Small Operator"
"MARGARET DAVIS","ADMINISTRATOR",1,1,"NJ","MCAULEY HALL","Small Operator"
"ELIZABETH ROBERTS","ADMINISTRATOR",1,1,"NM","LAS ESTANCIAS BY PURE HEALTH","Small Operator"
"BILJANA STOJADINOVIC","ADMINISTRATOR",1,1,"NY","EMERALD PEEK","Small Operator"
"JOEL EDELSTEIN","CFO",1,1,"NY","BERKSHIRE NURSING HOME LLC","Small Operator"
"CHESKY ROSENBERG","ADMINISTRATOR",1,1,"NY","MEADOW PARK REHAB & H.C.C. LLC","Small Operator"
"BETH GOLDMAN","CONTROLLER",1,1,"NY","WATERVIEW NURSING CARE CENTER  INC.","Small Operator"
"DANIEL MUSKIN","ADMINISTRATOR",1,1,"NY","150 RIVERSIDE OP  LLC","Small Operator"
"JACK DEUTSH","OWNER",1,1,"NY","CLIFFSIDE NURSING HOME  INC.","Small Operator"
"MARIA PEREZ","CEO / ADMINISTRATOR",1,1,"NY","METHODIST CHURCH HM FOR THE AGED","Small Operator"
"JEREMY LAZAR","ADMINISTRATOR",1,1,"NY","BROOKHAVEN REHAB  HEALTH CARE CENTE","Small Operator"
"MARK MURPHY","ADMINISTRATOR",1,1,"NY","SYRACUSE HOME ASSOCIATION","Small Operator"
"JOSEPH BENDEN","ADMINISTRATOR",1,1,"NY","WOODMERE REHABILITATION H.C.C. INC.","Small Operator"
"ROBERT DAVIS","CFO & TREASURER",1,1,"NY","MIRIAM OSBORN MEMORIAL HOME ASSOC.","Small Operator"
"YOSSIE EMANUEL","CEO",1,1,"NC","LOTUS VILLAGE CTR NURSING AND REHAB","Small Operator"
"DWAYNE SHEPHERD","ADMINISTRATOR",1,1,"OH","RIVERSIDE MANOR NURSING & REHAB","Small Operator"
"DAVE CYTLAK","CFO",1,1,"OH","BIRCHAVEN RETIREMENT VILLAGE","Small Operator"
"EZZIE GOLDISH","CFO",1,1,"OH","MAPLE HILLS SKILLED NURSING & REHABI","Small Operator"
"AMY RILEY CLANTON","COO",1,1,"OK","BRIGHTON SENIOR LIVING OF LAKELAND M","Small Operator"
"JAMES MILLER","ADMINISTRATOR",1,1,"PA","ELLEN MEMORIAL LLC","Small Operator"
"BOBBI MCVAY","ADMINISTRATOR",1,1,"PA","SOMERSET HEALTHCARE & REHAB CENTER","Small Operator"
"JOHN ANDURSKY","CFO",1,1,"PA","WESTMORELAND MANOR","Small Operator"
"HENRY BRUBAKER","VICE PRESIDENT OF FINANCE/CFO",1,1,"PA","LEBANON VALLEY BRETHREN HOME","Small Operator"
"JASON CUMELLO","ADMINISTRATOR",1,1,"PA","CEDARBROOK NURSING HOMES","Small Operator"
"MICHAEL MICKEY","PRESIDENT/CEO",1,1,"PA","MAHONING VALLEY NURSING & REHAB CTR","Small Operator"
"CHARLIE BISH","ADMINISTRATOR",1,1,"PA","OAKWOOD HEIGHTS VILLAGE","Small Operator"
"NATHAN BABINSACK","CFO",1,1,"PA","THE MIDDLETOWN HOME","Small Operator"
"CARA TODHUNTER","EXECUTIVE DIRECTOR",1,1,"PA","REFORMED PRESBYTERIAN HOME","Small Operator"
"SCOTT BLACK","CFO",1,1,"PA","MORRISONS COVE HOME","Small Operator"
"SUSAN LONG","ADMINISTRATOR",1,1,"PA","ROSS","Small Operator"
"DAVID KLINGERMAN","MANAGING MEMBER",1,1,"PA","MARYWOOD HEIGHTS","Small Operator"
"NEIL BOWSER","ADMINISTRATOR",1,1,"PA","MCKEESPORT","Small Operator"
"MELISSA BARCIC","ADMINISTRATOR",1,1,"PA","GLEN HAZEL","Small Operator"
"ROBERT SUPPER","SENIOR VICE PRESIDENT & CFO",1,1,"PA","WAVERLY HEIGHTS","Small Operator"
"JOHN BARNUM","CFO",1,1,"PA","PAULS RUN","Small Operator"
"STEVEN WISNIEWSKI","CFO",1,1,"PA","MEADOWOOD NURSING CENTER","Small Operator"
"DESIREE MAURIELLO","SENIOR DIRECTOR OF FINANCE",1,1,"PA","WHITE HORSE VILLAGE","Small Operator"
"DAVID MILLER","GENERAL PARTNER",1,1,"PA","MONUMENTALPOSTACUTECARE AT WOODSIDE","Small Operator"
"CINDY STONE","CFO",1,1,"PA","SAINT MARYS AT ASBURY RIDGE","Small Operator"
"GARRETT SULLIVAN","EXECUTIVE DIRECTOR",1,1,"RI","ST. ANTOINE RESIDENCE","Small Operator"
"GREGORY HICKS JR.","ADMINISTRATOR",1,1,"SC","RAILROAD CROSSING HEALTHCARE  INC.","Small Operator"
"YARIBEY PABON","ADMINISTRATOR",1,1,"SC","ORANGE GROVE HEALTHCARE  INC.","Small Operator"
"KATHY GRIFFIN","CEO",1,1,"SC","SENIOR CARE OF MARION LLC","Small Operator"
"JULIE GRISHAM","ADMINISTRATOR",1,1,"TN","QUALITY CENTER FOR REHAB AND HEALING","Small Operator"
"ADRIENNE GREEN","ADMINISTRATOR",1,1,"TN","GALLATIN CENTER FOR REHAB & HEALING","Small Operator"
"SCOTT BECHT","CEO",1,1,"TN","HARTSVILLE CONVALESCENT CENTER","Small Operator"
"ROGER PEDEN","ADMINISTRATOR",1,1,"TN","NASHVILLE CENTER FOR REHABILITATION","Small Operator"
"RAJIN SALIH","ADMINISTRATOR",1,1,"TN","CREEKSIDE CENTER FOR REHAB","Small Operator"
"STEVEN D WOMACK","CEO",1,1,"VA","REGENCY CARE OF ARLINGTON","Small Operator"
"NICK HOPKINS","CHIEF EXECUTIVE OFFICER",1,1,"WA","SPOKANE VALLEY HEALTH AND REHAB","Small Operator"
"MIGUEL RIVERA","CEO",1,1,"WA","WASHINGTON ODD FELLOWS HOME","Small Operator"
"KEVIN MCFEELY","PRESIDENT/CEO",1,1,"WA","ELISEO","Small Operator"
"SONJA BERG","CFO",1,1,"WA","CAROLINE KLINE GALLAND HOME","Small Operator"
"KERRI MENKE","ADMINISTRATOR",1,1,"WI","SAUK COUNTY HEALTH CARE CENTER","Small Operator"
"KEIRA THOMAS","CONTROLLER - RECEIVERSHIP GROUP",1,1,"WI","MINOCQUA HEALTH & REHAB","Small Operator"
"GRANT THAYER","OWNER",1,1,"WI","CUMBERLAND CARE AND REHAB  INC","Small Operator"
"ADORA CADE","BUSINESS OFFICE",1,1,"CA","ASHBY CARE CENTER","Small Operator"
"COLTON LEVAR","ADMINISTRATOR",1,1,"CA","ANZA HEALTHCARE  INC.","Small Operator"
"NEAL WORKINGER","ADMINISTRATOR",1,1,"CA","CLAYDELLE HEALTHCARE  LLC","Small Operator"
"MIKE REGAN","VP OF FINANCE",1,1,"CA","THE SPRINGS HEALTH AND REHAB","Small Operator"
"JULIA FRESHWATER","EXECUTIVE DIRECTOR",1,1,"TX","LCS-SP  LLC DBA SIGNATURE POINTE","Small Operator"
"SANDI ODORIZZI","ADMINISTRATOR",1,1,"TX","LCS-WP  LLC DBA WALNUT PLACE","Small Operator"
"PATRICK PHEIFER","EXECUTIVE DIRECTOR",1,1,"TX","CLAREWOOD HOUSE EXTENDED CARE","Small Operator"
"DAVID HINES","ADMINISTRATOR",1,1,"TX","SHADY ACRES HEALTH AND REHAB","Small Operator"
"SAMUEL AJAYI","MANAGING MEMBER",1,1,"TX","CHELSEA GARDENS","Small Operator"
"LAVANYA KARUNAKARAN","ADMINISTRATOR",1,1,"TX","OAK POINT HEALTHCARE  INC.","Small Operator"
"CHRISTOPHER ROMNEY","ADMINISTRATOR",1,1,"TX","THE BRIGHTPOINTE","Small Operator"
"KAJAL MEHTA","CEO",1,1,"TX","BURLESON REHAB & CARE  LLC","Small Operator"
"MICHEAL PERKINS","ADMINISTRATOR",1,1,"TX","THE BARTLETT SKILLED NURSING","Small Operator"
"TROY SESSIONS","ADMINISTRATOR",1,1,"AZ","RENEWCARE OF SCOTTSDALE  INC.","Small Operator"
"JEREMY BOWEN","ADMINISTRATOR",1,1,"AZ","RADIANT HILLS HEALTH ASSOCIATES  LLC","Small Operator"
"CONNER MONKS","ADMINISTRATOR",1,1,"AZ","OCOTILLO HEALTHCARE  INC.","Small Operator"
"JADA EXSTROM","ADMINISTRATOR",1,1,"AZ","DESERT COVE HEALTHCARE  INC.","Small Operator"
"DANIEL WADDELL","DIRECTOR REVENUE",1,1,"AZ","HAVEN HEALTH PRESCOTT","Small Operator"
"DAVID BUSH","ADMINISTRATOR",1,1,"AZ","RED MOUNTAIN HEALTHCARE  LLC","Small Operator"
"BRET KING","ADMINISTRATOR",1,1,"AZ","GOLDFIELD MOUNTAIN HEALTHCARE LLC","Small Operator"
"MEGAN MAJORS","ADMINISTRATOR",1,1,"AZ","AZ - RIO VISTA POST ACUTE AND REHABI","Small Operator"
"DOUG JENSEN","ADMINISTRATOR",1,1,"AZ","THOMPSON PEAK HEALTHCARE LLC","Small Operator"
"BRIEN HUBBARD","OWNER",1,1,"AR","CAVALIER HEALTHCARE OF ENGLAND","Small Operator"
"SHOMNAL DATT","ADMINISTRATOR",1,1,"CA","SAGEBRUSH HEALTHCARE  INC.","Small Operator"
"RANDY TU","ADMINISTRATOR",1,1,"CA","DEERGRASS HEALTHCARE  INC.","Small Operator"
"JUNE HYON","ADMINISTRATOR",1,1,"CA","FULLERTON HEALTHCARE INC","Small Operator"
"KATHERINE OH","ADMINISTRATOR",1,1,"CA","MISSION TRAILS HEALTHCARE  LLC","Small Operator"
"JEFF BELTRAN","ADMINISTRATOR",1,1,"CA","PERRIS HILLS HEALTHCARE  LLC","Small Operator"
"JACOB BEAMAN","ADMINISTRATOR",1,1,"CA","PACIFICA NURSING AND REHABILITATION","Small Operator"
"ELLIOT ZEMEL","MANAGER",1,1,"CA","GRAND PARK CONVALESCENT HOSPITAL","Small Operator"
"FASIL WONDMAGEGN","ADMINISTRATOR",1,1,"CO","HARMONY HILL HEALTHCARE INC.","Small Operator"
"DELANEY MOTT","ADMINISTRATOR",1,1,"CO","CHIMNEY ROCK HEALTHCARE  INC.","Small Operator"
"CHAD ROWLAND","ADMINISTRATOR",1,1,"CT","SENIOR PHILANTHROPY OF MILFORD B LLC","Small Operator"
"NATALIE IARTCHIKOVA","CONTROLLER",1,1,"CT","EDGEHILL HEALTH CENTER","Small Operator"
"CHRISTOPHER BARSTEIN","EXECUTIVE DIRECTOR",1,1,"CT","MEADOW RIDGE","Small Operator"
"KEVIN TAPP","REGIONAL DIRECTOR OF OPERATIONS",1,1,"FL","THE OAKS OF CLEARWATER","Small Operator"
"BRIAN HESS","EXECUTIVE DIRECTOR",1,1,"FL","HARBOUR HEALTH CENTER","Small Operator"
"COREY BENNICI","ADMINISTRATOR",1,1,"FL","SLOARIS HEALTHCARE PENSACOLA","Small Operator"
"STEPHANIE MARKOSKI","HEALTHCARE ADMINISTRATOR",1,1,"FL","CYPRESS VILLAGE","Small Operator"
"JENNIFER IAVARONE","ADMINISTRATOR",1,1,"FL","SOLARIS SENIOR LIVING NORTH NAPLES","Small Operator"
"STAN WEYER","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE CHARLOTTE HARBOR","Small Operator"
"BOB PATE","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE WINDERMERE","Small Operator"
"SHAIRE CUNNINGHAM","ADMINISTRATOR",1,1,"FL","SOLARIS HEALTHCARE COCONUT CREEK","Small Operator"
"ANDREW J DAVEY","CFO",1,1,"FL","OAK HAMMOCK AT THE UNIV. OF FLORIDA","Small Operator"
"LUME BADENHORST","CFO",1,1,"FL","DESOTO HEALTH AND REHAB","Small Operator"
"DARRIN SCHADEL","ADMINISTRATOR",1,1,"HI","KALAKAUA GARDENS","Small Operator"
"CHRIS PINEDA","CHIEF EXECUTIVE OFFICER",1,1,"ID","PARADISE CREEK HEALTH AND REHABILITA","Small Operator"
"SAM THOMPSON","CEO",1,1,"IL","SOUTHGATE HEALTH CARE CENTER  INC","Small Operator"
"EPHRAIM BRAUNSTEIN","MNAGER",1,1,"IL","ATRIUM REHAB & NURSING CENTER","Small Operator"
"TESSA DROEGE","EXECUTIVE DIRECTOR",1,1,"IL","WHITE HALL NURSING & REHAB CNTR LLC","Small Operator"
"BART BECKER","ADMINISTRATOR",1,1,"IL","DEKALB COUNTY REHAB & NURSING CTR","Small Operator"
"JACOB MERMELSTEIN","MANAGER",1,1,"IL","PAUL HOUSE & HEALTH CARE CENTER LLC","Small Operator"
"LIN YE","CONTROLLER",1,1,"IL","THE GARLANDS OF BARRINGTON","Small Operator"
"PINNY KOFMAN","MANAGER",1,1,"IN","AMBASSADOR HEALTHCARE","Small Operator"
"JOSH FOGEL","OWNER",1,1,"KY","SPRING CREEK POST-ACUTE & REHAB","Small Operator"
"SISTER JEANNE HALEY","PRESIDENT OF THE BOARD",1,1,"KY","CARMEL MANOR","Small Operator"
"RICHARD WEHRLE","PRESIDENT",1,1,"KY","GRAND HAVEN NURSING HOME","Small Operator"
"JOSEPH SADLER","AUTHORIZED REPRESENTATIVE",1,1,"LA","CCC DESTREHAN","Small Operator"
"ALLYSAN HATFIELD-SMITH","EXECUTIVE DIRECTOR",1,1,"LA","NATCHITOCHES NURSING & REHAB CTR LLC","Small Operator"
"ERIC WAHLEN","ADMINISTRATOR",1,1,"LA","BAYSIDE HEALTHCARE CENTER","Small Operator"
"LISA DAVIS","EXECUTIVE DIRECTOR",1,1,"LA","BERNICE NURSING & REHAB CENTER  LLC","Small Operator"
"MELISSA BRISTER","EXECUTIVE DIRECTOR",1,1,"LA","JENA NURSING & REHAB CENTER  LLC","Small Operator"
"JAZMENIQUE WILLIAMS","EXECUTIVE DIRECTOR",1,1,"LA","RINGGOLD NURSING & REHAB CENTER  LLC","Small Operator"
"THOM MELANCON","CHIEF FINANCIAL OFFICER",1,1,"LA","ST. JAMES PLACE OF BATON ROUGE INC.","Small Operator"
"CHEYANNE CLARK","EXECUTIVE DIRECTOR",1,1,"LA","WINNFIELD NURSING & REHAB CENTER LLC","Small Operator"
"ALISHA BABIN","ADMINISTRATOR",1,1,"LA","AMELIA MANOR NURSING HOME","Small Operator"
"KELBY SMITH","EXECUTIVE DIRECTOR",1,1,"LA","RUSTON NURSING & REHAB CENTER  LLC","Small Operator"
"DANIEL LAING","ADMINISTRATOR",1,1,"LA","GOLDEN AGE OF WELSH","Small Operator"
"ANGIE LEGER","ADMINISTRATOR",1,1,"LA","EVANGELINE OAKS GUEST HOME","Small Operator"
"JAKE WALLACE","ASST ADMINISTRATOR",1,1,"LA","AVOYELLES MANOR  INC.","Small Operator"
"KARL BRUCHHAUS","CFO",1,1,"LA","HIGH HOPE REHAB & NURSING CENTER LLC","Small Operator"
"JAKE WALLACE","ADMINISTRATOR",1,1,"LA","BAYOU VISTA NURISNG AND REHAB CENTER","Small Operator"
"DAWN HARVEY PSARELLIS","VP AND CHIEF ADMINISTRATIVE OFFICER",1,1,"LA","JOHN J HAINKEL JR HOME AND REHABILIT","Small Operator"
"JANET EDGECOMB","ADMINISTRATOR",1,1,"ME","ROSS MANOR ASSOCIATES","Small Operator"
"SARAH BECKWITH","TREASURER/CFO",1,1,"MD","ST. ELIZABETHS REHAB. NRSG. CTR.","Small Operator"
"ROXZANE HESLOP","ADMINISTRATOR",1,1,"MD","ADELPHI NURSING AND REHABILITATION","Small Operator"
"JULIET FOUNTAIN","ADMINISTRATOR",1,1,"MD","BAY HARBOR POST ACUTE HEALTHCARE CTR","Small Operator"
"LESHAWN BAILEY","ADMINISTRATOR",1,1,"MD","ORCHARD HILL REHAB AND HEALTHCARE","Small Operator"
"TERRI TANNER-HILL","EXEC VP FINANCE/CFO",1,1,"MD","HEBREW OF GREATER WASHINGTON","Small Operator"
"EDUARDO SALAZAR","ADMINISTRATOR",1,1,"MD","ELKTON NURSING AND REHAB CENTER","Small Operator"
"DEAN SMITH","ADMINISTRATOR",1,1,"MD","SOLOMONS SKILLED NSG CTR","Small Operator"
"MARK ALTENWEG","CFO",1,1,"MA","SHERRILL HOUSE INC.","Small Operator"
"TARA LIBBEY","ADMINISTRATOR",1,1,"MA","CEDAR VIEW REHAB & HEALTHCARE","Small Operator"
"MICHAEL WALSH","MANAGER",1,1,"MA","SANCTA MARIA NURSING FACILITY","Small Operator"
"LAURIE ROBERTO","ADMINISTRATOR",1,1,"MA","BSL AT THE COMMONS IN LINCOLN SNF","Small Operator"
"NICOLE MILLER","ADMINISTRATOR",1,1,"MI","SANILAC COUNTY MEDICAL CARE FACILITY","Small Operator"
"TERRY ESTERLINE","ADMINISTRATOR",1,1,"MI","HILLSDALE COUNTY MCF","Small Operator"
"STEPHANIE CORNISH","ADMINISTRATOR",1,1,"MI","CALHOUN COUNTY MEDICAL CARE FACILITY","Small Operator"
"ADAM KINDER","CFO",1,1,"MI","HOLLAND HOME RAYBROOK MANOR","Small Operator"
"RUTHE NEWMAN","FACILITY ADMINISTRATOR",1,1,"MI","SAGINAW GERIATRICS HOME","Small Operator"
"BRIAN THOMPSON","CHIEF FINANCIAL OFFICER",1,1,"MI","MAPLE WOODS MANOR","Small Operator"
"SHARON FLACK","CONTROLLER",1,1,"MN","MOUNT OLIVET CAREVIEW HOME","Small Operator"
"TODD FLIFLET","CFO",1,1,"MN","LYNGBLOMSTEN CARE CENTER INC","Small Operator"
"BECKY SHELTON","BORD OF DIRECTORS",1,1,"MS","PARKWAY HEALTH & REHAB LLC","Small Operator"
"RICHARD KEYES","MANANGING MEMBER",1,1,"MS","HATTIESBURG HEALTH & REHAB CENTERLLC","Small Operator"
"HEATHER CERVENY","BUSINESS OFFICE DIRECTOR",1,1,"MO","SALT RIVER COMMUNITY CARE","Small Operator"
"LORI MCINTIRE","ADMINISTRATOR",1,1,"NH","HANOVER HILL HEALTHCARE CENTER","Small Operator"
"STEFANIE OSIEK","ADMINISTRATOR",1,1,"NH","HOLY CROSS HEALTH CENTER  INC.","Small Operator"
"RAFI CZIMENT","ADMINISTRATOR",1,1,"NJ","BIG OAK REHABILITATION","Small Operator"
"BEN FRIEDMAN","ADNINISTRATOR",1,1,"NJ","WATERS EDGE HEALTHCARE & REHAB. CTR","Small Operator"
"LAURIE KLEID","ADMINISTRATOR",1,1,"NJ","SPRING HILLS POST ACUTE LIVINGSTON","Small Operator"
"BORUCH SHEPS","OPERATTOR",1,1,"NY","NORTHWOODS OPERATIONS ASSOCIATES","Small Operator"
"ARYI UNGER","ADMINISTRATOR",1,1,"NY","WILLOUGHBY REHAB & HCC","Small Operator"
"PERETZ STEIN","ADMINISTRATOR",1,1,"NY","ROSS CENTER FOR NURSING & REHAB","Small Operator"
"JESSICA THOMSEN","CHIEF FINANCIAL OFFICER",1,1,"NY","THE EPISCOPAL CHURCH HOME","Small Operator"
"JAY TAUB","ADMINISTRATOR",1,1,"NY","WOODCREST REHABILITATION & HCC LLC","Small Operator"
"MORDECHAI FISHMAN","CONTROLLER",1,1,"NY","VERRAZANO NURSING HOME   INC.","Small Operator"
"JAY JITZKOWITZ","CONTROLLER",1,1,"NY","LONG ISLAND CARE CENTER  INC.","Small Operator"
"SISTER PHILIP ANN BOWDEN","ADMINISTRATOR",1,1,"NY","OZANAM HALL OF QUEENS N.H. INC.","Small Operator"
